"","z.pct.mass.loss","z.soil.start.wt","z.weight.g","z.orgc.weight","z.totwt","z.org.c.start.mass","z.org.c.fraction.mass","z.org.c.bulk.wt","z.inorg.c.mass.frac","z.inorg.c.mass.bulk","site","species","depth","pct.mass.loss","soil.start.wt","weight.g","orgc.weight","totwt","org.c.start.mass","org.c.fraction.mass","inorg.c.mass.frac","inorg.c.mass.bulk","org.c.bulk.wt"
"3",1.01404478391203,0.402898690439431,-1.07208900861811,-0.652616163001077,0.161380460854283,0.1182580247802,-0.652616163001077,0.1182580247802,-0.839278255350012,-0.632767198580182,"125J","acer","1",40.59405941,10.588,0.369,0.0738246891996,0.509469441601347,0.466146203990697,0.0738246891996,0,0.0606811096774,0.466146203990697
"6",1.8302610097211,-1.5045912191183,-1.18656787206829,-1.15318301894344,-1.16489064376455,-0.965641645665254,-1.15318301894344,-0.965641645665254,-0.838136429640449,0.142211147986696,"125J","acer","2",56.52173913,10.019,0.026,0.00725059280784327,0.241854279707892,0.244371861557215,0.00725059280784327,1.97190955567189e-05,0.07708637185245,0.244371861557215
"9",0.925182661378161,0.0676632054556467,-0.951268750399545,-0.153500354777626,0.147883049288511,0.355776392397475,-0.153500354777626,0.355776392397475,-0.839278255350012,-1.12986776430756,"126E","fagus","1",38.86,10.488,0.731,0.1402058,0.50674593208,0.514744318032514,0.1402058,0,0.0501581510112,0.514744318032514
"11",1.53909947519469,0.543697594132626,-0.804749155488085,1.0698858563384,2.0069766163582,1.59262316374895,1.0698858563384,1.59262316374895,-0.839278255350012,-0.943026922524951,"126F","picea","1",50.84,10.63,1.17,0.302913,0.881874082119448,0.767812832477875,0.302913,0,0.0541133234467,0.767812832477875
"14",1.74408004742058,1.98856253441274,-1.1578647168009,-0.948111606090683,-1.1239398987528,-1.25584828693429,-0.948111606090683,-1.25584828693429,-0.802668671277654,0.568346672598558,"126F","picea","2",54.84,11.061,0.112,0.03452456,0.250117326544855,0.184993315007035,0.03452456,0.00063224,0.08610709486275,0.184993315007035
"16",1.52973053835702,-0.502237119016788,-1.09878961816917,-0.617903718139851,0.745013062117081,0.985344720185612,-0.61790371813985,0.985344720185612,-0.73256908461232,-0.196748829176032,"126Y","fraxinus","1",50.65717415,10.318,0.289,0.078441354531615,0.627234906391542,0.643558917500728,0.078441354531615,0.00184284546838484,0.06991103938434,0.643558917500728
"19",-0.210013184085313,-0.00273624639094493,-1.02302663856803,-0.95318659205968,-0.76039247923844,-0.628435036114179,-0.95318659205968,-0.628435036114179,-0.839278255350012,0.672462293152713,"126Y","fraxinus","2",16.7077378,10.467,0.516,0.0338496,0.323473973757074,0.313366968887287,0.0338496,0,0.08831108425068,0.313366968887287
"24",1.35820412020535,1.24098740289889,-0.936249657527071,0.202816737970536,0.56876922683069,1.04230584558592,0.202816737970537,1.04230584558592,-0.791926864353445,-1.5195886057257,"127E","quercus","1",47.31,10.838,0.776,0.1875950512,0.5916724016,0.655213608865966,0.1875950512,0.0008177488,0.04190827847364,0.655213608865966
"27",1.30490917142662,1.88128717921793,-1.1064660434151,-0.722687357597088,-0.816504673852066,-0.732147754087143,-0.722687357597088,-0.732147754087143,-0.828519682737184,1.72599918986716,"127E","quercus","2",46.27,11.029,0.266,0.06450540166,0.31215164758,0.292146536353167,0.06450540166,0.00018579834,0.11061306091655,0.292146536353167
"30",1.28389866277346,1.24098740289889,-0.864158011739201,0.517271682014201,1.01487680672861,0.584546975225602,0.517271682014201,0.584546975225602,-0.814399265869764,-0.659420510208619,"127F","populus","1",45.86,10.838,0.992,0.22941674496,0.68168804908,0.561552566949114,0.22941674496,0.00042965504,0.06011689447444,0.561552566949114
