"species","depth","tons.c","sd_tons.c","pct.n.pre","pct.c.pre","pct.n.org","pct.c.org","ph","sd_ph","bulkdens","sd_bd","moist","sd_moist","sd.n.pre","sd.org.n","sd.c.pre","sd.org.c"
"acer","1",21.473010189496,1.76943858280154,0.4326819834,5.650887133,3.6280978552,43.43896065,7.1752333334,0.0863612887822303,0.8388,0.0474257314123884,45.4952,11.2808845264899,0.0496742973688154,0.163958439418977,0.573534419060536,3.30325157892221
"acer","2",24.905247047844,5.53512133948237,0.2203996024,3.2962495366,2.8605282916,32.952589916,7.1896,0.148743655326874,1.0034,0.0691975433089932,16.1132,14.7285236768659,0.0326798942977363,0.264920966769337,0.389280546059795,3.80103081274382
"acer","3",NA,NA,0.1585625128,2.6962825238,NA,NA,7.3554666666,0.0207777256473797,0.9966,0.0877969247753018,13.0455,14.3579690880477,0.0186376913981762,NA,0.229597498952904,NA
"acer","4",NA,NA,0.1573452208,2.683261298,NA,NA,7.2956,0.172698139151655,0.9082,0.02781546332528,17.8244,17.8751637139356,0.041781318961543,NA,0.498117283865975,NA
"fagus","1",51.157758969697,61.5453146167661,0.3577878706,5.371971589,3.0323041334,41.739763252,7.1591,0.0832799495677079,0.938,0.0625992545216528,31.769,14.1799009634529,0.0461252968779747,0.427910031453677,1.10669762420355,7.55735041847638
"fagus","2",18.4608885694575,5.29362221455518,0.19308279675,2.7358138025,2.940338567,30.5406165225,7.19354166675,0.119997019731626,0.94675,0.0791259544439539,36.1243333333333,9.82032210944902,0.0249426250604636,0.128261635023328,0.535790801484872,6.51733387166754
"fagus","3",NA,NA,0.1488889096,2.5041403574,NA,NA,7.2526333334,0.15120958602459,1.0206,0.0784525334198966,16.32,10.4364367801787,0.0168455746239075,NA,0.245178638064847,NA
"fagus","4",NA,NA,0.1254875038,2.1010132584,NA,NA,7.3182,0.135547892827591,0.89425,0.0940438727403333,15.2185,9.7986857792257,0.0136857771490582,NA,0.197513188885381,NA
"fraxinus","1",20.517070020932,4.30324823849355,0.5196934016,5.9899723268,3.8855670556,41.136064748,7.1601,0.0269664400495216,0.7662,0.107374112336261,47.8702,14.7658010856167,0.100175223225701,0.349116905333289,1.46771641998823,8.49100353362021
"fraxinus","2",21.36549904285,10.0784189930832,0.2201824572,3.2025832258,3.001706582,33.586289764,7.290875,0.0425878992985881,0.82525,0.314459721851093,28.6905,7.43827159583013,0.0371898744372745,0.481231882124786,0.414469949511569,4.49347105269301
"fraxinus","3",NA,NA,0.1574998794,2.664913851,NA,NA,7.33764583325,0.0234976728105975,1.1066,0.110414220098681,25.0834,4.11321495912869,0.0127817693731402,NA,0.102061761596359,NA
"fraxinus","4",NA,NA,0.127331057,2.06734561075,NA,NA,7.316125,0.0810312439741608,0.9475,0.126892342821254,25.88775,23.5407015241687,0.0359694141917454,NA,0.738283753604165,NA
"picea","1",25.0691621246242,4.74472021548585,0.533679928888889,7.67213624833333,3.11953247442857,42.6889011928571,6.9686875,0.335203982406875,0.681,0.115005589926254,52.0031428571429,12.2250889080417,0.0839143097550938,0.507409301809264,1.08450846997679,7.74823057537928
"picea","2",27.3271687755767,2.66449972681178,0.222005706444444,3.42869008755556,3.25177927428571,41.1060053342857,7.29705555555556,0.0598197524048518,0.97725,0.0366635280041936,29.5882857142857,5.98404561352618,0.0312743818747042,0.284848272225323,0.483276335820219,6.96582326760125
"picea","3",NA,NA,0.157080638111111,2.64592962988889,NA,NA,7.356,0.0688901817595015,1.002625,0.0593414754980504,27.6818571428571,5.5050513599957,0.00575967903237751,NA,0.101770322101929,NA
"picea","4",NA,NA,0.132791065625,2.21705997,NA,NA,7.3266875,0.0659891427758059,0.918142857142857,0.0564990518251665,25.8752857142857,3.18625279988294,0.0153387319943468,NA,0.478862129907696,NA
"populus","1",22.701794352385,3.29871209662411,0.528683906166667,6.2496314355,3.7322810032,40.294070494,7.1923,0.0966356559454117,0.775,0.162336071161033,40.457,35.4378853347657,0.0987588415671292,0.504942003090639,0.78321718731889,3.54458256387419
"populus","2",24.548045930025,7.66533826019843,0.271515399833333,3.7305072275,3.402369201,36.778849132,7.314,0.0664717985314074,1.00066666666667,0.0742046719104217,28.8273333333333,7.47555913181973,0.0531583218608587,0.554079369145792,0.520008362068845,5.33926537424136
"populus","3",NA,NA,0.1654684842,2.6666162368,NA,NA,7.1617,0.273357681738495,1.0452,0.104829385193275,27.498,6.57422862395277,0.0110376369974598,NA,0.128075882061949,NA
"populus","4",NA,NA,0.142169953166667,2.37769739733333,NA,NA,7.26986111116667,0.182408284931491,0.9002,0.104561943363731,27.1926,4.47631928039098,0.014049191735782,NA,0.166877720515307,NA
"quercus","1",22.947478858037,4.9077285266307,0.4811737014,6.673448792,3.3741046614,43.030282628,7.0564666666,0.136828684513072,0.7536,0.0599733274047722,52.8774,9.62865064793609,0.104223673027335,0.254100163510357,1.36958749979288,2.72856220014492
"quercus","2",25.0950641085,0.721278611088064,0.2208305796,3.342725696,3.0265204138,35.399903296,7.3005,0.0669645428566488,0.9455,0.0347035060668707,37.854,12.7581365671742,0.0241366588867942,0.388664335112769,0.24625063119962,3.7277337111482
"quercus","3",NA,NA,0.1456344625,1.90563206175,NA,NA,7.2898666666,0.101054262003034,1.015,0.0904350595731545,30.9504,11.7777086396294,0.0115173680109326,NA,0.6326920478465,NA
"quercus","4",NA,NA,0.1469908234,2.3292999324,NA,NA,7.2954666666,0.155239349398205,0.893,0.0880426033236183,26.887,2.28535117651533,0.00703373446019107,NA,0.186920173795187,NA
