"","X","site","depth","species","fraction.name","fraction.code","c.in.org.fract","org.c.in.t.frac","soil.start.wt","weight.g","orgc.weight","pct.c.cont.by.fraction","totwt"
"1",1,"125J","1","acer","Silt + Clay","sc",38.1641963431552,4.7797876955681,10.588,7.397,0.353560895841172,12.8086696073272,2.76032489462386
"2",2,"125J","1","acer","Sand + Agg","sa",44.9517446972741,2.76842686544939,10.588,2.965,0.0820838565605744,2.97370272319918,2.76032489462386
"3",3,"125J","1","acer","POM","pom",49.2847749911691,20.00669084,10.588,0.369,0.0738246891996,2.67449275059558,2.76032489462386
"4",4,"125J","2","acer","Silt + Clay","sc",32.4913779428027,2.77653593314636,10.019,7.501,0.208267960345309,15.0013844794499,1.38832492847984
"5",5,"125J","2","acer","Sand + Agg","sa",35.5830461435031,1.15965330492032,10.019,2.271,0.0263357265547405,1.89694256830619,1.38832492847984
"6",6,"125J","2","acer","POM","pom",49.338353426532,27.8868954147818,10.019,0.026,0.00725059280784327,0.522254744484231,1.38832492847984
"7",7,"126E","1","fagus","Sand + Agg","sa",42.5497267759563,1.55732,10.488,3.595,0.055985654,2.07507789936198,2.69800251919283
"8",8,"126E","1","fagus","Silt + Clay","sc",43.8410375670841,4.901428,10.488,6.336,0.31055447808,11.5105332878973,2.69800251919283
"9",9,"126E","1","fagus","POM","pom",49.3566649511065,19.18,10.488,0.731,0.1402058,5.19665193055289,2.69800251919283
"10",10,"126F","1","picea","Sand + Agg","sa",46.7701694915254,3.863216,10.63,4.076,0.15746468416,2.85259745922086,5.5200457271321
"11",11,"126F","1","picea","POM","pom",50.9244689221086,25.89,10.63,1.17,0.302913,5.48750888984712,5.5200457271321
"12",12,"126F","1","picea","Silt + Clay","sc",42.8889612597442,7.24345072966915,10.63,5.819,0.421496397959448,7.63574105713855,5.5200457271321
"13",13,"126F","2","picea","Sand + Agg","sa",35.9835643564356,1.090302,11.061,2.913,0.03176049726,1.43875294232967,2.20750181115685
"14",14,"126F","2","picea","POM","pom",56.2098832968636,30.8255,11.061,0.112,0.03452456,1.5639651947514,2.20750181115685
"15",15,"126F","2","picea","Silt + Clay","sc",35.1947019493423,2.61832031455426,11.061,7.021,0.183832269284855,8.32761578521726,2.20750181115685
"16",16,"126Y","1","fraxinus","POM","pom",53.5804408035092,27.1423372081713,10.318,0.289,0.078441354531615,2.36732499866285,3.313501719279
"17",17,"126Y","1","fraxinus","Sand + Agg","sa",46.836735402555,5.67677337422068,10.318,3.627,0.205896570282984,6.21386640860975,3.313501719279
"18",18,"126Y","1","fraxinus","Silt + Clay","sc",43.2608177797298,5.59466440817332,10.318,6.129,0.342896981576943,10.3484775511617,3.313501719279
"19",19,"126Y","2","fraxinus","POM","pom",39.2632448421593,6.56,10.467,0.516,0.0338496,2.40490009671235,1.40752624386662
"20",20,"126Y","2","fraxinus","Sand + Agg","sa",39.1655258303665,1.58255832655887,10.467,2.591,0.0410040862411403,2.91320225252055,1.40752624386662
"21",21,"126Y","2","fraxinus","Silt + Clay","sc",34.6998845352954,3.11984298551805,10.467,7.969,0.248620287515933,17.6636342376784,1.40752624386662
"22",22,"127E","1","quercus","Silt + Clay","sc",41.2171929824561,4.69876,10.838,6.886,0.3235566136,10.7148118474533,3.01971344160283
"23",23,"127E","1","quercus","Sand + Agg","sa",57.3542201834862,3.125805,10.838,2.576,0.0805207368,2.66650257904142,3.01971344160283
"24",24,"127E","1","quercus","POM","pom",51.0983301627563,24.17462,10.838,0.776,0.1875950512,6.21234613243389,3.01971344160283
"25",25,"127E","2","quercus","Sand + Agg","sa",46.5158056265985,1.818768,11.029,2.901,0.05276245968,3.50698250993879,1.50449737147166
"26",26,"127E","2","quercus","Silt + Clay","sc",34.9009915356711,2.886312,11.029,6.752,0.19488378624,12.9534148703344,1.50449737147166
"27",27,"127E","2","quercus","POM","pom",52.4100950940134,24.250151,11.029,0.266,0.06450540166,4.28750510856011,1.50449737147166
"28",28,"127F","1","populus","Sand + Agg","sa",46.2179615952733,3.128956,10.838,3.194,0.09993885464,3.08144079068384,3.24325085012655
"29",29,"127F","1","populus","Silt + Clay","sc",44.6006476030277,5.303017,10.838,6.644,0.35233244948,10.8635583789719,3.24325085012655
"30",30,"127F","1","populus","POM","pom",50.4288879197558,23.126688,10.838,0.992,0.22941674496,7.07366637862897,3.24325085012655
"31",31,"127F","2","populus","Sand + Agg","sa",36.1857357357357,1.204985,11.029,3.039,0.03661949415,2.16078465816827,1.69473131029369
"32",32,"127F","2","populus","Silt + Clay","sc",37.4496803652968,2.460444,11.029,7.693,0.18928195692,11.1688475789828,1.69473131029369
"33",33,"127F","2","populus","POM","pom",49.7865560165975,11.99856,11.029,0.372,0.0446346432,2.63372977939878,1.69473131029369
"34",34,"130E","1","picea","Silt + Clay","sc",38.9811706987343,5.7581854668333,10.542,7.328,0.421959831009544,7.64413651386127,5.5200457271321
"35",35,"130E","1","picea","Sand + Agg","sa",53.7109140410892,6.91505663796599,10.542,2.701,0.186775679791461,3.38358935820807,5.5200457271321
"36",36,"130E","1","picea","POM","pom",51.1565074571693,24.86774668,10.542,0.696,0.1730795168928,3.13547252049164,5.5200457271321
"37",37,"130E","2","picea","Silt + Clay","sc",29.9414074496766,3.09433836853506,10.333,7.882,0.243895750207933,11.0484960408761,2.20750181115685
"38",38,"130E","2","picea","Sand + Agg","sa",10.99585078688,0.514033675,10.333,2.265,0.01164286273875,0.527422567895811,2.20750181115685
"39",39,"130E","2","picea","POM","pom",46.936610362834,18.45821756,10.333,0.358,0.0660804188648,2.9934480022089,2.20750181115685
"40",40,"130P","1","populus","Silt + Clay","sc",35.1411526318,4.55598863245362,10.428,7.252,0.330400295625537,10.1873185545498,3.24325085012655
"41",41,"130P","1","populus","Sand + Agg","sa",45.4027498832697,2.65890105807549,10.428,2.761,0.0734122582134643,2.26353931921732,3.24325085012655
"42",42,"130P","1","populus","POM","pom",50.6777326725709,21.3869330532706,10.428,0.434,0.0928192894511944,2.86192137890206,3.24325085012655
"43",43,"130P","2","populus","Silt + Clay","sc",28.8676856096632,2.5816629407321,10.364,7.159,0.184821249927011,10.9056373009939,1.69473131029369
"44",44,"130P","2","populus","Sand + Agg","sa",35.4360371817292,1.31126130371617,10.364,3.06,0.0401245958937148,2.36760810696071,1.69473131029369
"45",45,"130P","2","populus","POM","pom",50.7073817623203,18.4390479117271,10.364,0.255,0.0470195721749041,2.77445586148732,1.69473131029369
"46",46,"130Q1","1","acer","Silt + Clay","sc",37.7213387290934,5.00093505969578,10.1,6.858,0.342964126393937,12.4247738757822,2.76032489462386
"47",47,"130Q1","1","acer","Sand + Agg","sa",33.0531642928514,2.4938761346935,10.1,2.853,0.0711502861228056,2.57760549351931,2.76032489462386
"48",48,"130Q1","1","acer","POM","pom",50.5264895852527,26.7377532446981,10.1,0.386,0.103207727524535,3.73897028301079,2.76032489462386
"49",49,"130Q1","2","acer","Silt + Clay","sc",29.2073030647235,2.56700864316385,10.229,7.925,0.203435434970735,14.6533013127906,1.38832492847984
"50",50,"130Q1","2","acer","Sand + Agg","sa",33.091617508093,1.06747153264723,10.229,2.329,0.024861411995354,1.79074879989199,1.38832492847984
"51",51,"130Q1","2","acer","POM","pom",39.6625985619663,12.01896926,10.229,0.231,0.0277638189906,1.99980699194102,1.38832492847984
"52",52,"130T2","1","fraxinus","Silt + Clay","sc",38.8721808351229,6.74864250566581,10.414,7.553,0.509724968452939,15.3832715850787,3.313501719279
"53",53,"130T2","1","fraxinus","Sand + Agg","sa",43.827386188155,3.78853656766694,10.414,2.634,0.0997900531923472,3.01161917652667,3.313501719279
"54",54,"130T2","1","fraxinus","POM","pom",51.2838705857328,24.9125148165559,10.414,0.768,0.191328113791149,5.77419690709505,3.313501719279
"55",55,"130T2","2","fraxinus","Silt + Clay","sc",31.7161177993068,3.27028414606501,10.537,8.508,0.278235775147211,19.767714908311,1.40752624386662
"56",56,"130T2","2","fraxinus","Sand + Agg","sa",30.5190914916689,1.22674779521147,10.537,2.507,0.0307545672259516,2.18500844015992,1.40752624386662
"57",57,"130T2","2","fraxinus","POM","pom",50.1834972646508,30.8270054632881,10.537,0.146,0.0450074279764006,3.19762620217727,1.40752624386662
"58",58,"131M","1","quercus","Silt + Clay","sc",28.8746921487662,2.94396964169007,10.879,8.749,0.257567903951464,8.52954788368096,3.01971344160283
"59",59,"131M","1","quercus","Sand + Agg","sa",31.9230074106487,1.09691391102107,10.879,2.458,0.0269621439328979,0.892870944687608,3.01971344160283
"60",60,"131M","1","quercus","POM","pom",49.2414353395792,27.9034800274029,10.879,0.182,0.0507843336498733,1.68176002895551,3.01971344160283
"61",61,"131M","2","quercus","Silt + Clay","sc",24.6164909726787,2.27930471962865,10.455,8.9,0.20285812004695,13.4834479536857,1.50449737147166
"62",62,"131M","2","quercus","Sand + Agg","sa",27.4196901344487,0.709566842752116,10.455,2.011,0.0142693892077451,0.948448929079029,1.50449737147166
"63",63,"131M","2","quercus","POM","pom",30.53016837,30.53016837,10.455,0.058,0.0177074976546,1.17697099312836,1.50449737147166
"64",64,"131N1","1","fagus","POM","pom",48.910193251524,18.3312636087594,10.364,0.596,0.109254331108206,4.04945252389504,2.69800251919283
"65",65,"131N1","1","fagus","Sand + Agg","sa",38.911515567036,1.45994420685437,10.364,3.245,0.0473751895124243,1.75593570337353,2.69800251919283
"66",66,"131N1","1","fagus","Silt + Clay","sc",41.7865952366372,4.68167288872706,10.364,6.588,0.308428609909339,11.4317391372048,2.69800251919283
"67",67,"131N1","2","fagus","POM","pom",51.2892293018752,18.8584352872977,10.301,0.114,0.0214986162275194,2.24539200472058,0.957454920224261
"68",68,"131N1","2","fagus","Sand + Agg","sa",34.2345938676448,0.927011347074024,10.301,3.634,0.03368759235267,3.51845205879557,0.957454920224261
"69",69,"131N1","2","fagus","Silt + Clay","sc",39.9217354957837,2.16208151705507,10.301,6.643,0.143627075177968,15.0009229828102,0.957454920224261
"70",70,"131N2","1","picea","Silt + Clay","sc",40.3642198164364,6.87316436620255,10.478,6.574,0.451841825434156,8.18547250819437,5.5200457271321
"71",71,"131N2","1","picea","Sand + Agg","sa",28.5221021571953,0.819172646759524,10.478,3.198,0.0261971412433696,0.474581960700172,5.5200457271321
"72",72,"131N2","1","picea","POM","pom",51.2215320745305,29.289277150502,10.478,0.7,0.205024940053514,3.71418916053134,5.5200457271321
"73",73,"131N2","2","picea","Silt + Clay","sc",31.5893613985485,3.02513221496694,10.701,7.123,0.215480167672095,9.76126799004398,2.20750181115685
"74",74,"131N2","2","picea","Sand + Agg","sa",30.2794712929728,0.89850063170418,10.701,3.37,0.0302794712884309,1.37166235313586,2.20750181115685
"75",75,"131N2","2","picea","POM","pom",45.2265080757368,26.8532391699688,10.701,0.197,0.0529008811648385,2.3964139416545,2.20750181115685
"76",76,"131V1","1","fraxinus","Sand + Agg","sa",41.6469367909238,2.569616,10.111,2.843,0.07305418288,2.20474256750639,3.313501719279
"77",77,"131V1","1","fraxinus","POM","pom",49.0479487179487,19.1287,10.111,0.602,0.115154774,3.47531957898176,3.313501719279
"78",78,"131V1","1","fraxinus","Silt + Clay","sc",37.5387812044005,4.71165033209356,10.111,7.085,0.333820426028829,10.0745511640014,3.313501719279
"79",79,"131V1","2","fraxinus","Sand + Agg","sa",33.5330769230769,1.394976,11.451,3.238,0.04516932288,3.20912828992198,1.40752624386662
"80",80,"131V1","2","fraxinus","POM","pom",59.8032394366197,27.599195,11.451,0.1,0.027599195,1.96082986873354,1.40752624386662
"81",81,"131V1","2","fraxinus","Silt + Clay","sc",27.9314408660084,2.12185982484559,11.451,8.453,0.179360810994198,12.7429816513741,1.40752624386662
