"site","depth","mean.ph","depth_cm","species","avg.bd","pct.m","mean.c.pre","mean.n.pre","mean.c.post","mean.n.post","mean.pct.mass.loss"
"125J","1",7.2555,"0_5","acer",0.884,32.674,4.912490973,0.379993902,0.573112105,0.002997376,11.02941176
"125J","2",7.2975,"5_15","acer",1.063,21.765,3.154420134,0.21398208,0.769401855,0.00295319,7.027027027
"125J","3",7.3395,"15_25","acer",1,NA,2.62262224,0.145256448,1.094822741,0.002902571,4.678362573
"125J","4",7.3225,"25_40","acer",0.943,43.223,2.303580291,0.119711522,0.850211839,0.003889546,5.714285714
"126E","1",7.15,"0_5","fagus",0.999,51.643,5.7761275915,0.3679436505,0.4467531895,0.0036196695,11.627998095
"126E","2",7.355,"5_15","fagus",1.019,29.958,NA,NA,NA,NA,NA
"126E","3",7.35366666666667,"15_25","fagus",1.127,0.924,2.313415174,0.129614655,0.894919307,0.002551675,4.922394678
"126E","4",7.3695,"25_40","fagus",0.83,0.762,2.105514701,0.137537875333333,0.856437085666667,0.00324664433333333,6.36108989066667
"126F","1",7.205,NA,NA,NA,NA,7.659986369,0.513921839,0.509062309,0.003698115,14.17322835
"126F","2",7.335,NA,NA,NA,NA,2.0793059635,0.155177188,0.8602196845,0.003131275,5.1682801505
"126F","4",7.363,NA,NA,NA,NA,2.179210014,0.13099533,0.9283351075,0.002967277,5.4901594415
"126Y","1",7.1235,"0_5","fraxinus",0.723,63.131,6.819863399,0.560535552,0.677563863,0.002982754,14.01273885
"126Y","2",7.333,"5_15","fraxinus",0.968,35.836,3.767673087,0.272871684,0.843709604,0.003268834,8.284023669
"126Y","3",7.3555,"15_25","fraxinus",1.232,29.234,2.657282218,0.151435217,1.077747503,0.00306652,5.454545455
"126Y","4",7.3845,"25_40","fraxinus",1.037,1.034,2.199425529,0.119347123,0.980162229,0.00288731,4.90797546
"127E","1",7.17,"0_5","quercus",0.701,54.347,6.374198612,0.447685404,0.386679078,0.003647775,15
"127E","2",7.3485,"5_15","quercus",0.931,33.541,3.585404198,0.240934952,1.002929195,0.004992598,6.622516556
