site,depth,fraction.name,fraction.code,pct.n.pre.ashing,pct.c.pre.ashing,pct.n.post.ashing,pct.c.post.ashing,pct.mass.loss,c.in.org.fract,org.c.in.t.frac,n.in.org.fract,org.n.in.t.frac,species,mean.c.pre,mean.n.pre,mean.c.post,mean.n.post,mean.pct.mass.loss,fraction.id,c.in.org.fraction.bulk,org.c.in.total.bulk,n.in.org.fraction.bulk,org.n.in.total.bulk,sample,soil.start.wt,weight.g,orgc.weight,totwt,pct.c.cont.by.fraction
125J,1,Silt + Clay,sc,0.435615779,5.159870359,0.003391505,0.434500714,12.52427184,38.16419634,4.779787696,3.454484547,0.432649035,acer,4.912490973,0.379993902,0.573112105,0.002997376,11.02941176,fraction.sc,39.91681386,4.402589762,3.421099213,0.377327119,24A,10.588,7.397,0.353560896,0.509469442,69.39786118
125J,1,Sand + Agg,sa,0.209862943,3.300655016,0.004350973,0.567157473,6.158663883,44.9517447,2.768426865,3.341308045,0.205779932,acer,4.912490973,0.379993902,0.573112105,0.002997376,11.02941176,fraction.sa,39.91681386,4.402589762,3.421099213,0.377327119,24A,10.588,2.965,0.082083857,0.509469442,16.11163494
125J,1,POM,pom,1.232299575,20.00669084,0.004631929,0,40.59405941,49.28477499,20.00669084,3.028886374,1.229547934,acer,4.912490973,0.379993902,0.573112105,0.002997376,11.02941176,fraction.pom,39.91681386,4.402589762,3.421099213,0.377327119,24A,10.588,0.369,0.073824689,0.509469442,14.49050388
125J,2,Silt + Clay,sc,0.235396992,3.325727206,0.003251489,0.600507356,8.545454545,32.49137794,2.776535933,2.719847801,0.232423358,acer,3.154420134,0.21398208,0.769401855,0.00295319,7.027027027,fraction.sc,34.71004659,2.439084355,3.006056625,0.211236411,24B,10.019,7.501,0.20826796,0.24185428,86.11299357
125J,2,Sand + Agg,sa,0.084176795,1.607423292,0.002964711,0.462854437,3.259005146,35.58304614,1.159653305,2.494893394,0.081308704,acer,3.154420134,0.21398208,0.769401855,0.00295319,7.027027027,fraction.sa,34.71004659,2.439084355,3.006056625,0.211236411,24B,10.019,2.271,0.026335727,0.24185428,10.8890885
125J,2,POM,pom,1.526200021,27.96273809,0.004953767,0.174438153,56.52173913,49.33835343,27.88689541,2.696389447,1.524046209,acer,3.154420134,0.21398208,0.769401855,0.00295319,7.027027027,fraction.pom,34.71004659,2.439084355,3.006056625,0.211236411,24B,10.019,0.026,0.007250593,0.24185428,2.997917927
126E,1,Sand + Agg,sa,0.1,1.75,0,0.2,3.66,42.54972678,1.55732,2.732240437,0.1,fagus,5.33430297,0.349480682,0.47824324,0.003419454,10.84723707,fraction.sa,45.24595412,4.907935908,3.193736267,0.346432144,14A,10.488,3.595,0.055985654,0.506745932,11.04807172
126E,1,Silt + Clay,sc,0.38,5.31,0,0.46,11.18,43.84103757,4.901428,3.398926655,0.38,fagus,5.33430297,0.349480682,0.47824324,0.003419454,10.84723707,fraction.sc,45.24595412,4.907935908,3.193736267,0.346432144,14A,10.488,6.336,0.310554478,0.506745932,61.28405941
126E,1,POM,pom,1.05,19.18,0,0,38.86,49.35666495,19.18,2.702007205,1.05,fagus,5.33430297,0.349480682,0.47824324,0.003419454,10.84723707,fraction.pom,45.24595412,4.907935908,3.193736267,0.346432144,14A,10.488,0.731,0.1402058,0.506745932,27.66786887
126F,1,Sand + Agg,sa,0.27,4.01,0,0.16,8.26,46.77016949,3.863216,3.268765133,0.27,picea_sit,7.659986369,0.513921839,0.509062309,0.003698115,14.17322835,fraction.sa,50.96280428,7.223074623,3.603609945,0.510747866,10A,10.63,4.076,0.157464684,0.881874082,17.85568794
