"site","species","depth","pct.mass.loss.fraction","pct.mass.loss.bulk","soil.mass.pre.fract","fraction.mass","org.c.mass.fraction","sum.org.c.mass.fraction","inorg.c.mass.frac","inorg.c.mass.bulk","org.c.start.mass.bulk","org.pom","org.sa","org.sc","inorg.pom","inorg.sa","inorg.sc"
"126F","picea",1,50.84,14.17322835,10.63,1.17,0.302913,0.881874082,0,0.054113323,0.767812832,0.343487813263572,0.178556879280187,0.477955307456241,0,0.18058134426966,0.81941865573034
"126F","picea",2,54.84,4.955217429,11.061,0.112,0.03452456,0.250117327,0.00063224,0.086107095,0.184993315,0.138033460344926,0.126982394654259,0.734984145000815,0.00885031888388777,0.134441626824787,0.856708054291325
"127F","populus",1,45.86,12.63046999,10.838,0.992,0.229416745,0.681688049,0.000429655,0.060116894,0.561552567,0.336542125590352,0.146604968572656,0.516852905836992,0.0107970470036866,0.209523977772289,0.779678975224025
"127F","populus",2,24.1,6.637441355,11.029,0.372,0.044634643,0.270536094,0.000451757,0.097412922,0.264344149,0.164985907573575,0.135358995757513,0.699655096668912,0.00566129222133835,0.165670666449149,0.828668041329512
"131M","quercus",2,100,6.465740078,10.455,0.058,0.017707498,0.234835007,0,0.101113131,0.213542376,0.0754039963045203,0.060763466155623,0.863832537539857,0,0.252186696367809,0.747813303632191
"157G","populus",1,39.15,16,10.424,1.332,0.2566764,0.805257397,0,0.067863017,0.660492885,0.318750750551937,0.114385081377421,0.566864168070642,0,0.25402857925243,0.74597142074757
"157G","populus",2,40.69,8.092485549,10.156,0.912,0.1866864,0.491641333,0,0.076140791,0.35091578,0.379720718843061,0.0543840504443186,0.56589523071262,0,0.139863751595505,0.860136248404495
"159G","populus",1,49.58,14.97616683,10.492,0.462,0.117877166,0.616680345,0.000256234,0.065729071,0.666686342,0.191147921213542,0.180857984050067,0.627994094736391,0.00671617858732842,0.264049085028985,0.729234736383687
"131N1","fagus",1,37.47943402,9.691954023,10.364,0.596,0.109254331,0.465058131,0.002257269,0.059960555,0.461065811,0.234926181733612,0.101869394043559,0.663204424222829,0.0466943743480219,0.349096802182678,0.6042088234693
"125J","acer",2,56.52173913,7.027027027,10.019,0.026,0.007250593,0.24185428,1.97e-05,0.077086372,0.244371862,0.0299791800252615,0.108890886694252,0.861129933280486,0.000383392354023799,0.197901606069494,0.801715001576482
"159N","acer",2,60.52631579,6.951871658,10.196,0.094,0.027682354,0.253321091,5.92e-05,0.097010161,0.217054458,0.109277730846343,0.10970043943163,0.781021829722027,0.000911434016718964,0.179350784934057,0.819737781049224
