"site","species","depth","pct.mass.loss.fraction","pct.mass.loss.bulk","soil.mass.pre.fract","fraction.mass","org.c.mass.fraction","sum.org.c.mass.fraction","inorg.c.mass.frac","inorg.c.mass.bulk","org.c.start.mass.bulk","sa","sc"
"126F","picea",1,8.26,14.17322835,10.63,4.076,0.157464684,0.881874082,0.005982916,0.054113323,NA,0.767812832,NA
"126F","picea",1,50.84,14.17322835,10.63,1.17,0.302913,0.881874082,0,0.054113323,0.767812832,NA,NA
"126F","picea",1,16.88884626,14.17322835,10.63,5.819,0.421496398,0.881874082,0.027148502,0.054113323,NA,NA,0.767812832
"126F","picea",2,3.03,4.955217429,11.061,2.913,0.031760497,0.250117327,0.009604103,0.086107095,NA,0.184993315,NA
"126F","picea",2,54.84,4.955217429,11.061,0.112,0.03452456,0.250117327,0.00063224,0.086107095,0.184993315,NA,NA
"126F","picea",2,7.439529729,4.955217429,11.061,7.021,0.183832269,0.250117327,0.061200631,0.086107095,NA,NA,0.184993315
"127F","populus",1,6.77,12.63046999,10.838,3.194,0.099938855,0.681688049,0.008337745,0.060116894,NA,0.561552567,NA
"127F","populus",1,11.89,12.63046999,10.838,6.644,0.352332449,0.681688049,0.031026351,0.060116894,NA,NA,0.561552567
"127F","populus",1,45.86,12.63046999,10.838,0.992,0.229416745,0.681688049,0.000429655,0.060116894,0.561552567,NA,NA
"127F","populus",2,3.33,6.637441355,11.029,3.039,0.036619494,0.270536094,0.013220106,0.097412922,NA,0.264344149,NA
"127F","populus",2,6.57,6.637441355,11.029,7.693,0.189281957,0.270536094,0.066125643,0.097412922,NA,NA,0.264344149
"127F","populus",2,24.1,6.637441355,11.029,0.372,0.044634643,0.270536094,0.000451757,0.097412922,0.264344149,NA,NA
"131M","quercus",2,9.259259259,6.465740078,10.455,8.9,0.20285812,0.234835007,0.030578765,0.101113131,NA,NA,0.213542376
"131M","quercus",2,2.58780037,6.465740078,10.455,2.011,0.014269389,0.234835007,0.010312143,0.101113131,NA,0.213542376,NA
"131M","quercus",2,100,6.465740078,10.455,0.058,0.017707498,0.234835007,0,0.101113131,0.213542376,NA,NA
"157G","populus",1,9.59,16,10.424,2.227,0.092109433,0.805257397,0.009664467,0.067863017,NA,0.660492885,NA
"157G","populus",1,39.15,16,10.424,1.332,0.2566764,0.805257397,0,0.067863017,0.660492885,NA,NA
"157G","populus",1,15.11102378,16,10.424,7.313,0.456471565,0.805257397,0.028380335,0.067863017,NA,NA,0.660492885
"157G","populus",2,4.61,8.092485549,10.156,1.688,0.026737447,0.491641333,0.008372953,0.076140791,NA,0.35091578,NA
"157G","populus",2,40.69,8.092485549,10.156,0.912,0.1866864,0.491641333,0,0.076140791,0.35091578,NA,NA
"157G","populus",2,9.757115433,8.092485549,10.156,8.326,0.278217485,0.491641333,0.051492115,0.076140791,NA,NA,0.35091578
"159G","populus",1,11.36,14.97616683,10.492,2.273,0.111531564,0.616680345,0.010073936,0.065729071,NA,0.666686342,NA
"159G","populus",1,12.4,14.97616683,10.492,7.386,0.387271615,0.616680345,0.027821585,0.065729071,NA,NA,0.666686342
"159G","populus",1,49.58,14.97616683,10.492,0.462,0.117877166,0.616680345,0.000256234,0.065729071,0.666686342,NA,NA
"159G","populus",2,5.845490035,8.203190092,10.02,2.346,0.058497536,0.309608452,0.017278264,0.069948515,NA,0.345152711,NA
"159G","populus",2,8.191520046,8.203190092,10.02,7.598,0.251110916,0.309608452,0.039132684,0.069948515,NA,NA,0.345152711
"159L","fraxinus",2,6.970268571,6.352632073,10.247,7.876,0.180290812,0.180290812,0.056776788,0.082461364,NA,NA,0.232679484
"131N1","fagus",1,37.47943402,9.691954023,10.364,0.596,0.109254331,0.465058131,0.002257269,0.059960555,0.461065811,NA,NA
"131N1","fagus",1,3.751959248,9.691954023,10.364,3.245,0.04737519,0.465058131,0.01687581,0.059960555,NA,0.461065811,NA
"131N1","fagus",1,11.20376729,9.691954023,10.364,6.588,0.30842861,0.465058131,0.029208269,0.059960555,NA,NA,0.461065811
"125J","acer",2,8.545454545,7.027027027,10.019,7.501,0.20826796,0.24185428,0.041194837,0.077086372,NA,NA,0.244371862
"125J","acer",2,3.259005146,7.027027027,10.019,2.271,0.026335727,0.24185428,0.010168856,0.077086372,NA,0.244371862,NA
"125J","acer",2,56.52173913,7.027027027,10.019,0.026,0.007250593,0.24185428,1.97e-05,0.077086372,0.244371862,NA,NA
"159N","acer",2,8.273381295,6.951871658,10.196,7.91,0.197849302,0.253321091,0.053244092,0.097010161,NA,NA,0.217054458
"159N","acer",2,3.392857143,6.951871658,10.196,2.291,0.027789435,0.253321091,0.011649298,0.097010161,NA,0.217054458,NA
"159N","acer",2,60.52631579,6.951871658,10.196,0.094,0.027682354,0.253321091,5.92e-05,0.097010161,0.217054458,NA,NA
"133U2","populus",2,8.07,8.387096774,10.614,7.648,0.23807811,0.350980014,0.05484029,0.133235644,NA,NA,0.304385738
"133U2","populus",2,5.02,8.387096774,10.614,2.909,0.063739797,0.350980014,0.017130403,0.133235644,NA,0.304385738,NA
"133U2","populus",2,34.85,8.387096774,10.614,0.254,0.049162106,0.350980014,0.000926694,0.133235644,0.304385738,NA,NA
"130T2","fraxinus",2,10.31111111,9.756097561,10.537,8.508,0.278235775,0.35399777,0.029661788,0.096642258,NA,NA,0.276224002
"130T2","fraxinus",2,4.019607843,9.756097561,10.537,2.507,0.030754567,0.35399777,0.005212306,0.096642258,NA,0.276224002,NA
"130T2","fraxinus",2,61.42857143,9.756097561,10.537,0.146,0.045007428,0.35399777,9.38e-05,0.096642258,0.276224002,NA,NA
"133V1","acer",2,10.19172553,9.375,10.067,8.038,0.263095442,0.362743232,0.01585636,0.080360576,NA,NA,0.326732543
"133V1","acer",2,5.973223481,9.375,10.067,1.895,0.039756649,0.362743232,0.002483614,0.080360576,NA,0.326732543,NA
"133V1","acer",2,61.53846154,9.375,10.067,0.197,0.059891141,0.362743232,0.000173244,0.080360576,0.326732543,NA,NA
"159P","picea",2,10.88580576,7.586206897,10.377,7.711,0.257185251,0.360097374,0.030058728,0.081218904,NA,NA,0.294947183
"159P","picea",2,5.539637058,7.586206897,10.377,2.413,0.051123351,0.360097374,0.009357709,0.081218904,NA,0.294947183,NA
"159P","picea",2,41.08527132,7.586206897,10.377,0.255,0.051788772,0.360097374,3.72e-05,0.081218904,0.294947183,NA,NA
"132Q","fagus",2,32.98969072,6.313262087,10.193,0.231,0.028447442,0.193573147,0.000566158,0.079709694,0.201726654,NA,NA
"132Q","fagus",2,2.795003146,6.313262087,10.193,2.472,0.02485159,0.193573147,0.01395881,0.079709694,NA,0.201726654,NA
"132Q","fagus",2,5.449985531,6.313262087,10.193,7.632,0.140274116,0.193573147,0.061210684,0.079709694,NA,NA,0.201726654
"126E","fagus",1,3.66,10.84723707,10.488,3.595,0.055985654,0.506745932,0.006926846,0.050158151,NA,0.514744318,NA
"126E","fagus",1,11.18,10.84723707,10.488,6.336,0.310554478,0.506745932,0.025887122,0.050158151,NA,NA,0.514744318
"126E","fagus",1,38.86,10.84723707,10.488,0.731,0.1402058,0.506745932,0,0.050158151,0.514744318,NA,NA
"130E","picea",2,10.33464567,7.509881423,10.333,7.882,0.24389575,0.321619032,0.015950517,0.096178979,NA,NA,0.274997462
"130E","picea",2,4.674796748,7.509881423,10.333,2.265,0.011642863,0.321619032,0,0.096178979,NA,0.274997462,NA
"130E","picea",2,39.3258427,7.509881423,10.333,0.358,0.066080419,0.321619032,0,0.096178979,0.274997462,NA,NA
"133U1","picea",2,3.52,7.547169811,10.335,2.361,0.029020279,0.422001126,0.005922521,0.077830144,NA,0.324360701,NA
"133U1","picea",2,37.93,7.547169811,10.335,0.91,0.178065033,0.422001126,0.000112967,0.077830144,0.324360701,NA,NA
"133U1","picea",2,8.832420178,7.547169811,10.335,7.801,0.214915815,0.422001126,0.053438585,0.077830144,NA,NA,0.324360701
"156H","picea",2,28.17887931,7.181896634,10.074,0.346,0.052761311,0.308192339,0.000695689,0.082802362,0.285583659,NA,NA
"156H","picea",2,3.177172923,7.181896634,10.074,1.8,0.020432391,0.308192339,0.010527609,0.082802362,NA,0.285583659,NA
"156H","picea",2,8.244810447,7.181896634,10.074,8.133,0.234998638,0.308192339,0.056976062,0.082802362,NA,NA,0.285583659
"157L","quercus",2,10.86323957,7.382550336,10.453,8.598,0.266456819,0.346352968,0.012013215,0.090873418,NA,NA,0.260353488
"157L","quercus",2,8.276533593,7.382550336,10.453,1.662,0.052720431,0.346352968,0.011097102,0.090873418,NA,0.260353488,NA
"157L","quercus",2,58.13953488,7.382550336,10.453,0.106,0.027175718,0.346352968,0.000111499,0.090873418,0.260353488,NA,NA
"134X","fagus",2,7.07,6.944444444,10.921,7.906,0.188457852,0.273037128,0.055837548,0.107126019,NA,NA,0.276943178
"134X","fagus",2,3.92,6.944444444,10.921,2.724,0.044737451,0.273037128,0.014918149,0.107126019,NA,0.276943178,NA
"134X","fagus",2,42.19,6.944444444,10.921,0.179,0.039841825,0.273037128,0.001417675,0.107126019,0.276943178,NA,NA
"158J1","picea",2,3.99,6.285714286,10.18,2.386,0.031112605,0.246814094,0.008017795,0.092786678,NA,0.275748901,NA
"158J1","picea",2,8.681318681,6.285714286,10.18,7.724,0.215701489,0.246814094,0.063134911,0.092786678,NA,NA,0.275748901
"131N1","fagus",2,36.76880223,5.274736019,10.301,0.114,0.021498616,0.198813284,0.000742784,0.09697742,0.179209905,NA,NA
"131N1","fagus",2,2.707820489,5.274736019,10.301,3.634,0.033687592,0.198813284,0.023366208,0.09697742,NA,0.179209905,NA
"131N1","fagus",2,5.415800416,5.274736019,10.301,6.643,0.143627075,0.198813284,0.058320125,0.09697742,NA,NA,0.179209905
"131N2","picea",2,9.576427256,4.285714286,10.701,7.123,0.215480168,0.29866052,0.037984797,0.095151323,NA,NA,0.254156132
"131N2","picea",2,2.96735905,4.285714286,10.701,3.37,0.030279471,0.29866052,0.015067043,0.095151323,NA,0.254156132,NA
"131N2","picea",2,59.375,4.285714286,10.701,0.197,0.052900881,0.29866052,0.000273913,0.095151323,0.254156132,NA,NA
"126Y","fraxinus",2,16.7077378,8.284023669,10.467,0.516,0.0338496,0.323473974,0,0.088311084,0.313366969,NA,NA
"126Y","fraxinus",2,4.040692147,8.284023669,10.467,2.591,0.041004086,0.323473974,0.014184214,0.088311084,NA,0.313366969,NA
"126Y","fraxinus",2,8.990931893,8.284023669,10.467,7.969,0.248620288,0.323473974,0.046232712,0.088311084,NA,NA,0.313366969
"158G","quercus",2,9.572301426,8.187134503,10.385,8.239,0.225142229,0.30146594,0.03228486,0.078704948,NA,NA,0.280075384
"158G","quercus",2,4.550625711,8.187134503,10.385,2.083,0.036070139,0.30146594,0.011561483,0.078704948,NA,0.280075384,NA
"158G","quercus",2,42.39130435,8.187134503,10.385,0.199,0.040253573,0.30146594,0.000134431,0.078704948,0.280075384,NA,NA
"134X","fagus",1,10.84,12.08053691,10.28,7.198,0.317751679,0.51582039,0.026312721,0.052553725,NA,NA,0.530020976
"134X","fagus",1,6.35,12.08053691,10.28,2.689,0.07750303,0.51582039,0.00881387,0.052553725,NA,0.530020976,NA
"134X","fagus",1,48.26,12.08053691,10.28,0.477,0.12056568,0.51582039,0.00059232,0.052553725,0.530020976,NA,NA
"135J","acer",2,14.16067521,6.86017138,10.356,0.787,0.0334475,0.27434566,0,0.080851189,0.264254482,NA,NA
"135J","acer",2,5.130080451,6.86017138,10.356,2.009,0.03361427,0.27434566,0.01038283,0.080851189,NA,0.264254482,NA
"135J","acer",2,6.42911731,6.86017138,10.356,8.235,0.20728389,0.27434566,0.05294211,0.080851189,NA,NA,0.264254482
"132Q","fagus",1,39.92631375,14.11393653,10.149,1.17,0.2314364,0.648923881,0.0011596,0.05334747,0.664735642,NA,NA
"132Q","fagus",1,7.643250556,14.11393653,10.149,2.679,0.09322425,0.648923881,0.00670245,0.05334747,NA,0.664735642,NA
