site,species,depth,pct.mass.loss.fraction,pct.mass.loss.bulk,soil.mass.pre.fract,fraction.mass,org.c.mass.fraction,sum.org.c.mass.fraction,inorg.c.mass.frac,inorg.c.mass.bulk,org.c.start.mass.bulk
126F,picea,1,50.84,14.17322835,10.63,1.17,0.302913,0.881874082,0,0.054113323,0.767812832
126F,picea,2,54.84,4.955217429,11.061,0.112,0.03452456,0.250117327,0.00063224,0.086107095,0.184993315
127F,populus,1,45.86,12.63046999,10.838,0.992,0.229416745,0.681688049,0.000429655,0.060116894,0.561552567
127F,populus,2,24.1,6.637441355,11.029,0.372,0.044634643,0.270536094,0.000451757,0.097412922,0.264344149
131M,quercus,2,100,6.465740078,10.455,0.058,0.017707498,0.234835007,0,0.101113131,0.213542376
157G,populus,1,39.15,16,10.424,1.332,0.2566764,0.805257397,0,0.067863017,0.660492885
157G,populus,2,40.69,8.092485549,10.156,0.912,0.1866864,0.491641333,0,0.076140791,0.35091578
159G,populus,1,49.58,14.97616683,10.492,0.462,0.117877166,0.616680345,0.000256234,0.065729071,0.666686342
131N1,fagus,1,37.47943402,9.691954023,10.364,0.596,0.109254331,0.465058131,0.002257269,0.059960555,0.461065811
125J,acer,2,56.52173913,7.027027027,10.019,0.026,0.007250593,0.24185428,0.0000197,0.077086372,0.244371862
159N,acer,2,60.52631579,6.951871658,10.196,0.094,0.027682354,0.253321091,0.0000592,0.097010161,0.217054458
133U2,populus,2,34.85,8.387096774,10.614,0.254,0.049162106,0.350980014,0.000926694,0.133235644,0.304385738
130T2,fraxinus,2,61.42857143,9.756097561,10.537,0.146,0.045007428,0.35399777,0.0000938,0.096642258,0.276224002
133V1,acer,2,61.53846154,9.375,10.067,0.197,0.059891141,0.362743232,0.000173244,0.080360576,0.326732543
159P,picea,2,41.08527132,7.586206897,10.377,0.255,0.051788772,0.360097374,0.0000372,0.081218904,0.294947183
132Q,fagus,2,32.98969072,6.313262087,10.193,0.231,0.028447442,0.193573147,0.000566158,0.079709694,0.201726654
126E,fagus,1,38.86,10.84723707,10.488,0.731,0.1402058,0.506745932,0,0.050158151,0.514744318
130E,picea,2,39.3258427,7.509881423,10.333,0.358,0.066080419,0.321619032,0,0.096178979,0.274997462
133U1,picea,2,37.93,7.547169811,10.335,0.91,0.178065033,0.422001126,0.000112967,0.077830144,0.324360701
156H,picea,2,28.17887931,7.181896634,10.074,0.346,0.052761311,0.308192339,0.000695689,0.082802362,0.285583659
157L,quercus,2,58.13953488,7.382550336,10.453,0.106,0.027175718,0.346352968,0.000111499,0.090873418,0.260353488
134X,fagus,2,42.19,6.944444444,10.921,0.179,0.039841825,0.273037128,0.001417675,0.107126019,0.276943178
131N1,fagus,2,36.76880223,5.274736019,10.301,0.114,0.021498616,0.198813284,0.000742784,0.09697742,0.179209905
131N2,picea,2,59.375,4.285714286,10.701,0.197,0.052900881,0.29866052,0.000273913,0.095151323,0.254156132
126Y,fraxinus,2,16.7077378,8.284023669,10.467,0.516,0.0338496,0.323473974,0,0.088311084,0.313366969
158G,quercus,2,42.39130435,8.187134503,10.385,0.199,0.040253573,0.30146594,0.000134431,0.078704948,0.280075384
134X,fagus,1,48.26,12.08053691,10.28,0.477,0.12056568,0.51582039,0.00059232,0.052553725,0.530020976
135J,acer,2,14.16067521,6.86017138,10.356,0.787,0.0334475,0.27434566,0,0.080851189,0.264254482
132Q,fagus,1,39.92631375,14.11393653,10.149,1.17,0.2314364,0.648923881,0.0011596,0.05334747,0.664735642
158N,fraxinus,2,66.66666667,6.310679612,10.454,0.096,0.027020669,0.297634359,0.0000185,0.076408343,0.250298828
131V1,fraxinus,1,39,10.65088757,10.111,0.602,0.115154774,0.522029383,0.001211826,0.071727025,0.280886319
127E,quercus,2,46.27,6.622516556,11.029,0.266,0.064505402,0.312151648,0.000185798,0.110613061,0.292146536
130P,populus,1,42.20183486,12.6984127,10.428,0.434,0.092819289,0.496631843,0.0004822,0.072201503,0.458275225
130P,populus,2,36.36363636,6.870229008,10.364,0.255,0.047019572,0.271965418,0.00000636,0.096597701,0.216656682
130Q1,acer,2,30.3030303,7.272727273,10.229,0.231,0.027763819,0.256060666,0,0.116540477,0.205437045
134T,quercus,2,34.31,7.206392281,10.921,0.275,0.0484,0.309691809,0,0.082532029,0.304833104
125J,acer,1,40.59405941,11.02941176,10.588,0.369,0.073824689,0.509469442,0,0.06068111,0.466146204
130Q1,acer,1,52.91828794,12.13872832,10.1,0.386,0.103207728,0.51732214,0.000131251,0.053990808,0.538736894
131N2,picea,1,57.18157182,14.47368421,10.478,0.7,0.20502494,0.683063907,0.000612936,0.083270569,0.621311934
131M,quercus,1,56.66666667,9.154929577,10.879,0.182,0.050784334,0.335314382,0.0000698,0.110236321,0.397253901
160L1,fagus,1,53.3,12.29508197,10.866,0.648,0.178247045,0.561454185,0.000665755,0.05548757,0.380305571
159N,acer,1,53.77906977,10.56338028,10.271,0.58,0.157462819,0.622378189,0.000111111,0.065023507,0.528137737
160L1,fagus,2,49.07,6.896551724,10.765,0.188,0.048991884,0.292031361,0.000564916,0.078776921,0.158250184
135J,acer,1,48.62876254,11.02665062,10.088,0.308,0.072651175,0.510975127,0.000221625,0.05366468,0.49111477
133U2,populus,1,44.79,14.39393939,10.488,0.526,0.118462317,0.642993216,0.000203283,0.066030325,0.661360495
159L,fraxinus,1,52.22,13.38971451,11.045,0.393,0.104031006,0.659042246,0.000506994,0.053584226,0.667247108
133V1,acer,1,52.63157895,14.28571429,10.459,0.438,0.117048046,0.600179997,0.000291822,0.063761977,0.621492302
133U1,picea,1,54.55,18.8976378,10.295,0.631,0.173370121,0.786476652,0.0000287,0.048042256,0.784644118
130T2,fraxinus,1,48.57768053,12.6984127,10.414,0.768,0.191328114,0.800843135,0.000187384,0.043858723,0.615611883
158G,quercus,1,58.88501742,15.43624161,10.462,0.334,0.100306368,0.664318878,0.000303196,0.065213451,0.719060092
134T,quercus,1,41.52,14.034906,10.28,0.845,0.1763515,0.629845962,0,0.042203197,0.660638811
157L,quercus,1,55.18134715,17.6056338,10.415,0.548,0.154815036,0.798561818,0.000160264,0.048160752,0.818660354
126Y,fraxinus,1,50.65717415,14.01273885,10.318,0.289,0.078441355,0.627234906,0.001842845,0.069911039,0.643558918
127E,quercus,1,47.31,15,10.838,0.776,0.187595051,0.591672402,0.000817749,0.041908278,0.655213609
158J1,picea,1,43.35,18.26086957,10.174,1.289,0.2777795,0.834209118,0,0.051670675,0.809196113
130E,picea,1,48.61111111,17.44186047,10.542,0.696,0.173079517,0.781815028,0,0.039482913,0.880477756
159P,picea,1,51.06761566,17.6056338,10.298,1.198,0.316908964,0.93101344,0.000198447,0.049184968,0.498371157
158N,fraxinus,1,60.60606061,15.26717557,10.521,0.306,0.093260551,0.704352048,0.000156791,0.043367857,0.697378972
156H,picea,1,17.72127516,16.22407187,10.367,0.653,0.041979215,0.621593501,0.000400485,0.057626976,0.801127478
131V1,fraxinus,2,46.15,6.111111111,11.451,0.1,0.027599195,0.252129329,0.000500805,0.095593837,0.218588964
