site;depth_cm;depth;cup nr;ppm NH4;ppm NO3;;ppm NO3 5x;extracted;measured;;;;;;;;
125J;0_5;1;17;5.64;24.7;;; 22-9-17; 07-12-17;;;;;;;;
125J;0_5;1;53;5.7;32;;; 22-9-17; 07-12-17;;;;;;;;
125J;5_15;2;82;5.18;11.9;;; 23-9-17; 12-12-17;;;;;;;;
125J;5_15;2;9;5.39;11.1;;; 23-9-17; 13-12-17;;;;;;;;
125J;15_25;3;67;5.17;4.34;;; 26-9-17; 12-12-17;;;;;;;;
125J;15_25;3;15;5.44;5.88;;; 26-9-17; 13-12-17;;;;;;;;
125J;25_40;4;72;4.93;4.11;;; 23-9-17; 12-12-17;;;;;;;;
125J;25_40;4;31;5.28;3.23;;; 23-9-17; 13-12-17;;;;;;;;
126E;0_5;1;11;5.74;3.43;;; 22-9-17; 07-12-17;;;;;;;;
126E;0_5;1;59;5.52;1.96;;; 22-9-17; 07-12-17;;;;;;;;
126E;5_15;2;68;5.1;9.22;;; 23-9-17; 12-12-17;;;;;;;;
126E;5_15;2;8;5.37;20.3;;; 23-9-17; 13-12-17;;;;;;;;
126E;15_25;3;20;5.77;19.9;;; 23-9-17; 13-12-17;;;;;;;;
126E;15_25;3;25;5.23;9.39;;; 23-9-17; 13-12-17;;;;;;;;
126E;25_40;4;44;5.52;3.51;;; 24-9-17; 07-12-17;;;;;;;;
126E;25_40;4;65;5.55;3.59;;; 24-9-17; 07-12-17;;;;;;;;
126E;25_40;4;18;5.11;10.2;;; 26-9-17; 12-12-17;;;;;;;;
126F;0_5;1;19;6.1;51;;; 22-9-17; 07-12-17;;;;;;;;
126F;0_5;1;34;6.66;102;*;22.1; 22-9-17; 07-12-17;;;;;;;;
126F;0_5;1;47;5.57;71.6;*;15.2; 27-9-17; 13-12-17;;;;;;;;
126F;0_5;1;57;5.28;68.4;*;14.1; 27-9-17; 13-12-17;;;;;;;;
126F;5_15;2;10;5.29;74.1;*;15.6; 23-9-17; 13-12-17;;;;;;;;
126F;5_15;2;19;5.11;67.8;*;14; 23-9-17; 13-12-17;;;;;;;;
