sample_id,depth,site,species,analysis,study_name,npoc,unit,vial,date_time
1A,1,131N1,fagus,NPOC,HH_topsoil1,102.3,mg/L,8,16/09/2019 17:32:29
1B,2,131N1,fagus,NPOC,HH_topsoil2,58.57,mg/L,9,16/09/2019 17:49:22
2A,1,132Q,fagus,NPOC,HH_topsoil3,103.9,mg/L,10,16/09/2019 18:07:29
2B,2,132Q,fagus,NPOC,HH_topsoil4,55.51,mg/L,11,16/09/2019 18:24:14
3A,1,126Y,fraxinus,NPOC,HH_topsoil5,144.2,mg/L,12,16/09/2019 18:40:54
3B,2,126Y,fraxinus,NPOC,HH_topsoil6,89.46,mg/L,13,16/09/2019 18:57:36
4A,1,158J1,picea,NPOC,HH_topsoil7,215.2,mg/L,14,16/09/2019 19:14:25
4B,2,158J1,picea,NPOC,HH_topsoil8,87.15,mg/L,15,16/09/2019 19:31:05
5A,1,131V1,fraxinus,NPOC,HH_topsoil9,168.9,mg/L,16,16/09/2019 19:47:51
5B,2,131V1,fraxinus,NPOC,HH_topsoil10,76.95,mg/L,17,16/09/2019 20:04:37
6A,1,156H,picea,NPOC,HH_topsoil11,170.4,mg/L,18,16/09/2019 20:21:16
6B,2,156H,picea,NPOC,HH_topsoil12,73.25,mg/L,19,16/09/2019 20:38:05
7A,1,135J,acer,NPOC,HH_topsoil14,61.72,mg/L,43,16/09/2019 21:15:56
7B,2,135J,acer,NPOC,HH_topsoil15,145.1,mg/L,44,16/09/2019 21:32:46
8A,1,159G,populus,NPOC,HH_topsoil16,64.66,mg/L,45,16/09/2019 21:49:40
8B,2,159G,populus,NPOC,HH_topsoil17,167.4,mg/L,46,16/09/2019 22:06:26
9A,1,159L,fraxinus,NPOC,HH_topsoil18,64.23,mg/L,47,16/09/2019 22:23:27
9B,2,159L,fraxinus,NPOC,HH_topsoil19,204.4,mg/L,48,16/09/2019 22:46:22
10A,1,126F,picea,NPOC,HH_topsoil20,66.33,mg/L,49,16/09/2019 23:02:51
control,,,control,NPOC,control_demi,4.25,mg/L,54,16/09/2019 23:24:36
10B,2,126F,picea,NPOC,HH_topsoil21,205.8,mg/L,50,16/09/2019 23:41:25
11A,1,133U1,picea,NPOC,HH_topsoil22,89.78,mg/L,51,16/09/2019 23:58:20
11B,2,133U1,picea,NPOC,HH_topsoil23,195,mg/L,52,17/09/2019 00:15:08
12A,1,157G,populus,NPOC,HH_topsoil24,95.89,mg/L,53,17/09/2019 00:31:46
12B,2,157G,populus,NPOC,HH_topsoil25,148.8,mg/L,20,17/09/2019 00:48:50
13A,1,134T,quercus,NPOC,HH_topsoil26,81.37,mg/L,21,17/09/2019 01:05:52
13B,2,134T,quercus,NPOC,HH_topsoil27,104.5,mg/L,22,17/09/2019 01:22:17
14A,1,126E,fagus,NPOC,HH_topsoil28,50.94,mg/L,23,17/09/2019 01:39:07
14B,2,126E,fagus,NPOC,HH_topsoil29,141.9,mg/L,24,17/09/2019 01:55:58
15A,1,127F,populus,NPOC,HH_topsoil30,70.33,mg/L,25,17/09/2019 02:12:49
15B,2,127F,populus,NPOC,HH_topsoil31,98.66,mg/L,26,17/09/2019 02:29:54
16A,1,134X,fagus,NPOC,HH_topsoil32,58.98,mg/L,27,17/09/2019 02:46:50
