"","site","depth","species","fraction.name","fraction.code","c.in.org.fract","org.c.in.t.frac","soil.start.wt","weight.g","orgc.weight","pct.c.cont.by.fraction"
"1","125J",1,"acer","Silt + Clay","sc",38.1641963431552,4.7797876955681,10.588,7.397,0.353560895841172,69.3978611808143
"2","125J",1,"acer","Sand + Agg","sa",44.9517446972741,2.76842686544939,10.588,2.965,0.0820838565605744,16.1116349397858
"3","125J",1,"acer","POM","pom",49.2847749911691,20.00669084,10.588,0.369,0.0738246891996,14.4905038793999
"4","125J",2,"acer","Silt + Clay","sc",32.4913779428027,2.77653593314636,10.019,7.501,0.208267960345309,86.1129935748299
"5","125J",2,"acer","Sand + Agg","sa",35.5830461435031,1.15965330492032,10.019,2.271,0.0263357265547405,10.8890884984745
"6","125J",2,"acer","POM","pom",49.338353426532,27.8868954147818,10.019,0.026,0.00725059280784327,2.99791792669554
"7","126E",1,"fagus","Sand + Agg","sa",42.5497267759563,1.55732,10.488,3.595,0.055985654,11.0480717171621
"8","126E",1,"fagus","Silt + Clay","sc",43.8410375670841,4.901428,10.488,6.336,0.31055447808,61.28405941125
"9","126E",1,"fagus","POM","pom",49.3566649511065,19.18,10.488,0.731,0.1402058,27.6678688715878
"10","126F",1,"picea","Sand + Agg","sa",46.7701694915254,3.863216,10.63,4.076,0.15746468416,17.8556879437434
"11","126F",1,"picea","POM","pom",50.9244689221086,25.89,10.63,1.17,0.302913,34.3487813217047
"12","126F",1,"picea","Silt + Clay","sc",42.8889612597442,7.24345072966915,10.63,5.819,0.421496397959448,47.7955307345519
"13","126F",2,"picea","Sand + Agg","sa",35.9835643564356,1.090302,11.061,2.913,0.03176049726,12.6982395417153
"14","126F",2,"picea","POM","pom",56.2098832968636,30.8255,11.061,0.112,0.03452456,13.8033460044235
"15","126F",2,"picea","Silt + Clay","sc",35.1947019493423,2.61832031455426,11.061,7.021,0.183832269284855,73.4984144538612
"16","126Y",1,"fraxinus","POM","pom",53.5804408035092,27.1423372081713,10.318,0.289,0.078441354531615,12.50589750862
"17","126Y",1,"fraxinus","Sand + Agg","sa",46.836735402555,5.67677337422068,10.318,3.627,0.205896570282984,32.8260701349514
"18","126Y",1,"fraxinus","Silt + Clay","sc",43.2608177797298,5.59466440817332,10.318,6.129,0.342896981576943,54.6680323564286
"19","126Y",2,"fraxinus","POM","pom",39.2632448421593,6.56,10.467,0.516,0.0338496,10.4643967509487
"20","126Y",2,"fraxinus","Sand + Agg","sa",39.1655258303665,1.58255832655887,10.467,2.591,0.0410040862411403,12.6761624018426
"21","126Y",2,"fraxinus","Silt + Clay","sc",34.6998845352954,3.11984298551805,10.467,7.969,0.248620287515933,76.8594408472087
"22","127E",1,"quercus","Silt + Clay","sc",41.2171929824561,4.69876,10.838,6.886,0.3235566136,54.6850947796515
"23","127E",1,"quercus","Sand + Agg","sa",57.3542201834862,3.125805,10.838,2.576,0.0805207368,13.609006704091
"24","127E",1,"quercus","POM","pom",51.0983301627563,24.17462,10.838,0.776,0.1875950512,31.7058985162576
"25","127E",2,"quercus","Sand + Agg","sa",46.5158056265985,1.818768,11.029,2.901,0.05276245968,16.9028291502058
"26","127E",2,"quercus","Silt + Clay","sc",34.9009915356711,2.886312,11.029,6.752,0.19488378624,62.4324067327096
"27","127E",2,"quercus","POM","pom",52.4100950940134,24.250151,11.029,0.266,0.06450540166,20.6647641170845
"28","127F",1,"populus","Sand + Agg","sa",46.2179615952733,3.128956,10.838,3.194,0.09993885464,14.660496802735
"29","127F",1,"populus","Silt + Clay","sc",44.6006476030277,5.303017,10.838,6.644,0.35233244948,51.6852906480471
"30","127F",1,"populus","POM","pom",50.4288879197558,23.126688,10.838,0.992,0.22941674496,33.6542125492179
"31","127F",2,"populus","Sand + Agg","sa",36.1857357357357,1.204985,11.029,3.039,0.03661949415,13.5358996176876
"32","127F",2,"populus","Silt + Clay","sc",37.4496803652968,2.460444,11.029,7.693,0.18928195692,69.9655095674935
"33","127F",2,"populus","POM","pom",49.7865560165975,11.99856,11.029,0.372,0.0446346432,16.4985908148189
"34","130E",1,"picea","Silt + Clay","sc",38.9811706987343,5.7581854668333,10.542,7.328,0.421959831009544,53.971824032884
"35","130E",1,"picea","Sand + Agg","sa",53.7109140410892,6.91505663796599,10.542,2.701,0.186775679791461,23.8900089120072
"36","130E",1,"picea","POM","pom",51.1565074571693,24.86774668,10.542,0.696,0.1730795168928,22.1381670551088
"37","130E",2,"picea","Silt + Clay","sc",29.9414074496766,3.09433836853506,10.333,7.882,0.243895750207933,75.8337430574981
"38","130E",2,"picea","Sand + Agg","sa",10.99585078688,0.514033675,10.333,2.265,0.01164286273875,3.62007890925262
"39","130E",2,"picea","POM","pom",46.936610362834,18.45821756,10.333,0.358,0.0660804188648,20.5461780332493
"40","130P",1,"populus","Silt + Clay","sc",35.1411526318,4.55598863245362,10.428,7.252,0.330400295625537,66.5282140260335
"41","130P",1,"populus","Sand + Agg","sa",45.4027498832697,2.65890105807549,10.428,2.761,0.0734122582134643,14.7820280163887
"42","130P",1,"populus","POM","pom",50.6777326725709,21.3869330532706,10.428,0.434,0.0928192894511944,18.6897579575778
"43","130P",2,"populus","Silt + Clay","sc",28.8676856096632,2.5816629407321,10.364,7.159,0.184821249927011,67.9576290578168
"44","130P",2,"populus","Sand + Agg","sa",35.4360371817292,1.31126130371617,10.364,3.06,0.0401245958937148,14.7535654310136
"45","130P",2,"populus","POM","pom",50.7073817623203,18.4390479117271,10.364,0.255,0.0470195721749041,17.2888055111697
"46","130Q1",1,"acer","Silt + Clay","sc",37.7213387290934,5.00093505969578,10.1,6.858,0.342964126393937,66.2960464762965
"47","130Q1",1,"acer","Sand + Agg","sa",33.0531642928514,2.4938761346935,10.1,2.853,0.0711502861228056,13.753574536193
"48","130Q1",1,"acer","POM","pom",50.5264895852527,26.7377532446981,10.1,0.386,0.103207727524535,19.9503789875105
"49","130Q1",2,"acer","Silt + Clay","sc",29.2073030647235,2.56700864316385,10.229,7.925,0.203435434970735,79.4481394519004
"50","130Q1",2,"acer","Sand + Agg","sa",33.091617508093,1.06747153264723,10.229,2.329,0.024861411995354,9.70918821228057
"51","130Q1",2,"acer","POM","pom",39.6625985619663,12.01896926,10.229,0.231,0.0277638189906,10.8426723358191
"52","130T2",1,"fraxinus","Silt + Clay","sc",38.8721808351229,6.74864250566581,10.414,7.553,0.509724968452939,63.6485406315126
"53","130T2",1,"fraxinus","Sand + Agg","sa",43.827386188155,3.78853656766694,10.414,2.634,0.0997900531923472,12.46062415681
"54","130T2",1,"fraxinus","POM","pom",51.2838705857328,24.9125148165559,10.414,0.768,0.191328113791149,23.8908352116774
"55","130T2",2,"fraxinus","Silt + Clay","sc",31.7161177993068,3.27028414606501,10.537,8.508,0.278235775147211,78.5981716417199
"56","130T2",2,"fraxinus","Sand + Agg","sa",30.5190914916689,1.22674779521147,10.537,2.507,0.0307545672259516,8.68778557435044
"57","130T2",2,"fraxinus","POM","pom",50.1834972646508,30.8270054632881,10.537,0.146,0.0450074279764006,12.7140427839297
"58","131M",1,"quercus","Silt + Clay","sc",28.8746921487662,2.94396964169007,10.879,8.749,0.257567903951464,76.8138553356879
"59","131M",1,"quercus","Sand + Agg","sa",31.9230074106487,1.09691391102107,10.879,2.458,0.0269621439328979,8.04085521459958
"60","131M",1,"quercus","POM","pom",49.2414353395792,27.9034800274029,10.879,0.182,0.0507843336498733,15.1452894497125
